,性别,Na (mM),K (mM),Glucose (uM),Lactate (mM),SUN (mM),NH4 (mM),Cortisol,Tes,MDF
性别,1.0,-0.20354480258865368,0.09810077168292265,-0.34248752364637547,0.406043292406994,0.06851877341500963,-0.3051776010946061,-0.10983888664576621,-0.3975998096910545,-0.35768876290973833
Na (mM),-0.20354480258865368,1.0,-0.11024174939054739,0.5151368624939974,-0.14703066460222802,0.04613983142597519,0.07861442267088163,0.17210754951028306,0.15541153877726224,0.4919394002783306
K (mM),0.09810077168292265,-0.11024174939054739,1.0,0.14570948456474325,-0.32496818642625436,0.14483813824412486,-0.3130654487697142,-0.40477212813402924,-0.20419418782309517,0.21843838012732608
Glucose (uM),-0.34248752364637547,0.5151368624939974,0.14570948456474325,1.0,-0.046160509731848945,0.08515489081682057,0.03389122605974824,0.004119804481074571,-0.056946133877875116,0.5104542771274743
Lactate (mM),0.406043292406994,-0.14703066460222802,-0.32496818642625436,-0.046160509731848945,1.0,0.12464820994408056,0.24770959481789934,0.16429025447092613,-0.4327405077484584,-0.32993571792199505
SUN (mM),0.06851877341500963,0.04613983142597519,0.14483813824412486,0.08515489081682057,0.12464820994408056,1.0,0.41643747281572324,0.38166236723312413,0.15221621816001932,-0.024337757351851917
NH4 (mM),-0.3051776010946061,0.07861442267088163,-0.3130654487697142,0.03389122605974824,0.24770959481789934,0.41643747281572324,1.0,0.33241430985099285,0.20602796243664037,-0.16512191519150823
Cortisol,-0.10983888664576621,0.17210754951028306,-0.40477212813402924,0.004119804481074571,0.16429025447092613,0.38166236723312413,0.33241430985099285,1.0,0.6141226096970727,0.023624515237639986
Tes,-0.3975998096910545,0.15541153877726224,-0.20419418782309517,-0.056946133877875116,-0.4327405077484584,0.15221621816001932,0.20602796243664037,0.6141226096970727,1.0,0.3198496917485702
MDF,-0.35768876290973833,0.4919394002783306,0.21843838012732608,0.5104542771274743,-0.32993571792199505,-0.024337757351851917,-0.16512191519150823,0.023624515237639986,0.3198496917485702,1.0
