,accuracy,precision,recall,f1_score,cv_mean,cv_std
Logistic Regression,0.6493239271017048,0.6507046923186113,0.6493239271017048,0.6499718297474182,0.63653684395,0.015123772310245552
SGD Classifier,0.5728982951205174,0.7019202001110346,0.5728982951205174,0.5171597976146516,0.6034733794167928,0.06514425089338574
Decision Tree,0.9970605526161082,0.9970619311858934,0.9970605526161082,0.997060810568523,0.9978688897763902,0.0007493632122037418
Random Forest,0.9982363315696648,0.9982378912023095,0.9982363315696648,0.9982363075151351,0.9982363747174465,0.0009117359627966289
AdaBoost,0.675191064079953,0.6807048719365414,0.675191064079953,0.6776125562396872,0.6909182695020982,0.017220936230699355
Extra Trees,0.9982363315696648,0.9982376744730571,0.9982363315696648,0.9982365710514131,0.9983098771062743,0.001079833857168092
Support Vector Machine,0.7965902410346855,0.7979339056446132,0.7965902410346855,0.7968501519967521,0.7799829394528798,0.009159567797635729
Gaussian Naive Bayes,0.5870076425631982,0.6123267315059433,0.5870076425631982,0.5883531947262124,0.5853176683054836,0.009741200983621145
K-Nearest Neighbors,0.9973544973544973,0.9973571586995204,0.9973544973544973,0.9973535433595971,0.9962521612591646,0.0006737021054379216
Multi-layer Perceptron,0.9144620811287478,0.923751376990928,0.9144620811287478,0.9128686064035474,0.9599506221645075,0.006651711045875554
XGBoost,0.9979423868312757,0.997946857205398,0.9979423868312757,0.9979433958622286,0.9978688357702264,0.0008184153174252832
lightGBM,0.9970605526161082,0.9970613514755039,0.9970605526161082,0.9970603041292734,0.9974279294495881,0.0010129451460420072
